epoch,accuracy,loss,val_accuracy,val_loss
0,0.59575546,1.1143500068441914,0.8016813397407532,0.5074998140335083
0,0.5534108,1.18161328862929,0.6278181076049805,0.5360125303268433
1,0.5869631,1.1346781122859166,0.6335498690605164,0.5244910717010498
2,0.5927236,1.112928088540197,0.6484524011611938,0.6855732202529907
0,0.55462354,1.1779394882022882,0.6943064332008362,0.59468674659729
1,0.5841334,1.1345516766545265,0.6988918781280518,0.6047595143318176
2,0.58585143,1.1251592789833567,0.7023308873176575,0.5004167556762695
0,0.5890854,1.1446564883882195,0.7050057053565979,0.6274486184120178
0,0.5527034,1.1857712225820032,0.606037437915802,0.5082443952560425
0,0.68741786,0.9655748211837526,0.6629728674888611,1.038466215133667
1,0.71430016,0.8983553629923855,0.6759648323059082,0.6117445826530457
0,0.6244568,1.0699382388754406,0.5513947010040283,0.6095849275588989
1,0.65598786,0.9704076319405863,0.568972110748291,0.951562762260437
2,0.6740778,0.9686094508501181,0.5640046000480652,1.0592762231826782
