epoch,accuracy,loss,val_accuracy,val_loss
0,0.60427964,1.0974474806173755,0.7849085330963135,0.514094352722168
1,0.6266206,1.064183551564355,0.7877078056335449,0.37435656785964966
2,0.63311595,1.0519295700802016,0.7919780611991882,0.37301528453826904
0,0.7024698,0.9470593640540526,0.7492377758026123,0.7627435922622681
0,0.68805635,0.9761916614849663,0.75,0.4577472507953644
1,0.7041955,0.9340987314524551,0.7569010257720947,0.43256455659866333
2,0.7098911,0.925635080872337,0.7593411803245544,0.5066094994544983
3,0.7115546,0.9180355425490889,0.7591886520385742,0.6900588870048523
4,0.711907,0.9205634867112565,0.7561385035514832,0.3738880157470703
5,0.7153258,0.906541442186758,0.7584261298179626,0.5167818069458008
6,0.717693,0.9046929470343494,0.7569010257720947,0.5216866731643677
